time,pos1,pos2,pos3
241.2,"(-3, -58)","(111, 2)","(8, 118)"
241.3,"(-3, -58)","(111, 2)","(8, 118)"
241.4,"(-3, -58)","(111, 2)","(8, 117)"
241.5,"(-3, -58)","(111, 2)","(9, 117)"
241.6,"(-3, -58)","(111, 2)","(9, 116)"
241.7,"(-3, -58)","(111, 2)","(9, 115)"
241.8,"(-3, -58)","(111, 2)","(9, 115)"
241.9,"(-3, -58)","(111, 2)","(9, 114)"
242.0,"(-3, -58)","(111, 2)","(10, 113)"
242.1,"(-3, -58)","(111, 2)","(10, 112)"
242.2,"(-3, -58)","(111, 2)","(10, 112)"
242.3,"(-3, -58)","(111, 2)","(10, 111)"
242.4,"(-3, -58)","(111, 2)","(10, 111)"
242.5,"(-3, -58)","(111, 2)","(11, 110)"
242.6,"(-3, -58)","(111, 2)","(11, 109)"
242.7,"(-3, -58)","(111, 2)","(11, 108)"
242.8,"(-3, -58)","(111, 2)","(11, 108)"
242.9,"(-3, -58)","(111, 2)","(11, 107)"
243.0,"(-3, -58)","(111, 2)","(11, 106)"
243.1,"(-3, -58)","(111, 2)","(11, 106)"
243.2,"(-3, -58)","(111, 2)","(11, 105)"
243.3,"(-3, -58)","(111, 2)","(12, 104)"
243.4,"(-3, -58)","(111, 2)","(12, 103)"
243.5,"(-3, -58)","(111, 2)","(12, 103)"
243.6,"(-3, -58)","(111, 2)","(12, 102)"
243.7,"(-3, -58)","(111, 2)","(12, 101)"
243.8,"(-3, -58)","(111, 2)","(12, 101)"
243.9,"(-3, -58)","(111, 2)","(12, 100)"
244.0,"(-3, -58)","(111, 2)","(12, 99)"
244.1,"(-3, -58)","(111, 2)","(12, 99)"
244.2,"(-3, -58)","(111, 2)","(12, 98)"
244.3,"(-3, -58)","(111, 2)","(12, 97)"
244.4,"(-3, -58)","(111, 2)","(12, 97)"
244.5,"(-3, -58)","(111, 2)","(12, 96)"
244.6,"(-3, -58)","(111, 2)","(12, 95)"
244.7,"(-3, -58)","(111, 2)","(12, 95)"
244.8,"(-3, -58)","(111, 2)","(12, 94)"
244.9,"(-3, -58)","(111, 2)","(12, 93)"
245.0,"(-3, -58)","(111, 2)","(12, 92)"
245.1,"(-3, -58)","(111, 2)","(12, 92)"
245.2,"(-3, -58)","(111, 2)","(12, 91)"
245.3,"(-3, -58)","(111, 2)","(12, 90)"
245.4,"(-3, -58)","(111, 2)","(12, 90)"
245.5,"(-3, -58)","(111, 2)","(13, 89)"
245.6,"(-3, -58)","(111, 2)","(13, 88)"
245.7,"(-3, -58)","(111, 2)","(13, 88)"
245.8,"(-3, -58)","(111, 2)","(13, 87)"
245.9,"(-3, -58)","(111, 2)","(14, 87)"
246.0,"(-3, -58)","(111, 2)","(14, 86)"
246.1,"(-3, -58)","(111, 2)","(14, 86)"
246.2,"(-3, -58)","(111, 2)","(14, 86)"
246.3,"(-3, -58)","(111, 2)","(14, 86)"
246.4,"(-3, -58)","(111, 2)","(14, 86)"
246.5,"(-3, -58)","(111, 2)","(14, 86)"
246.6,"(-3, -58)","(111, 2)","(14, 86)"
246.7,"(-3, -58)","(111, 2)","(14, 86)"
246.8,"(-3, -58)","(111, 2)","(14, 86)"
246.9,"(-3, -58)","(111, 2)","(14, 86)"
247.0,"(-3, -58)","(111, 2)","(14, 86)"
247.1,"(-3, -58)","(111, 2)","(14, 86)"
247.2,"(-3, -58)","(111, 2)","(14, 86)"
247.3,"(-3, -58)","(111, 2)","(14, 86)"
247.4,"(-3, -58)","(111, 2)","(14, 86)"
247.5,"(-3, -58)","(111, 2)","(14, 86)"
247.6,"(-3, -58)","(111, 2)","(14, 86)"
247.7,"(-3, -58)","(111, 2)","(14, 86)"
247.8,"(-3, -58)","(111, 2)","(14, 86)"
247.9,"(-3, -58)","(111, 2)","(14, 86)"
248.0,"(-3, -58)","(111, 2)","(14, 86)"
248.1,"(-3, -58)","(111, 2)","(14, 86)"
248.2,"(-3, -58)","(111, 2)","(14, 86)"
248.3,"(-3, -58)","(111, 2)","(14, 86)"
248.4,"(-3, -58)","(111, 2)","(14, 86)"
248.5,"(-3, -58)","(111, 2)","(14, 86)"
248.6,"(-3, -58)","(111, 2)","(14, 86)"
248.7,"(-3, -58)","(111, 2)","(14, 86)"
248.8,"(-3, -58)","(111, 2)","(14, 86)"
248.9,"(-3, -58)","(111, 2)","(14, 86)"
249.0,"(-3, -58)","(111, 2)","(14, 86)"
249.1,"(-3, -58)","(111, 2)","(14, 86)"
249.2,"(-3, -58)","(111, 2)","(14, 86)"
249.3,"(-3, -58)","(111, 2)","(14, 86)"
249.4,"(-3, -58)","(111, 2)","(14, 86)"
249.5,"(-3, -58)","(111, 2)","(14, 86)"
249.6,"(-3, -58)","(111, 2)","(14, 86)"
249.7,"(-3, -58)","(111, 2)","(14, 86)"
249.8,"(-3, -58)","(111, 2)","(14, 86)"
249.9,"(-3, -58)","(111, 2)","(14, 86)"
250.0,"(-3, -58)","(111, 2)","(14, 86)"
250.1,"(-3, -58)","(111, 2)","(14, 86)"
250.2,"(-3, -58)","(111, 2)","(14, 86)"
250.3,"(-3, -58)","(111, 2)","(14, 86)"
250.4,"(-3, -58)","(111, 2)","(14, 86)"
250.5,"(-3, -58)","(111, 2)","(14, 86)"
250.6,"(-3, -58)","(111, 2)","(14, 86)"
250.7,"(-3, -58)","(111, 2)","(14, 86)"
250.8,"(-3, -58)","(111, 2)","(14, 86)"
250.9,"(-3, -58)","(111, 2)","(14, 86)"
251.0,"(-3, -58)","(111, 2)","(14, 86)"
251.1,"(-3, -58)","(111, 2)","(14, 86)"
251.2,"(-3, -58)","(111, 2)","(14, 86)"
251.3,"(-3, -58)","(111, 2)","(14, 86)"
251.4,"(-3, -58)","(111, 2)","(14, 86)"
251.5,"(-3, -58)","(111, 2)","(14, 86)"
251.6,"(-3, -58)","(111, 2)","(14, 86)"
251.7,"(-3, -58)","(111, 2)","(14, 86)"
251.8,"(-3, -58)","(111, 2)","(14, 86)"
251.9,"(-3, -58)","(111, 2)","(14, 86)"
252.0,"(-3, -58)","(111, 2)","(14, 86)"
252.1,"(-3, -58)","(111, 2)","(14, 86)"
252.2,"(-3, -58)","(111, 2)","(14, 86)"
252.3,"(-3, -58)","(111, 2)","(14, 86)"
252.4,"(-3, -58)","(111, 2)","(14, 86)"
252.5,"(-3, -58)","(111, 2)","(13, 86)"
252.6,"(-3, -58)","(111, 2)","(13, 86)"
252.7,"(-3, -58)","(111, 2)","(12, 86)"
252.8,"(-3, -58)","(111, 2)","(12, 85)"
252.9,"(-3, -58)","(111, 2)","(11, 85)"
253.0,"(-3, -58)","(111, 2)","(11, 85)"
253.1,"(-3, -58)","(111, 2)","(10, 84)"
253.2,"(-3, -58)","(111, 2)","(9, 84)"
253.3,"(-3, -58)","(111, 2)","(9, 84)"
253.4,"(-3, -58)","(111, 2)","(8, 83)"
253.5,"(-3, -58)","(111, 2)","(7, 83)"
253.6,"(-3, -58)","(111, 2)","(7, 83)"
253.7,"(-3, -58)","(111, 2)","(6, 83)"
253.8,"(-3, -58)","(111, 2)","(5, 82)"
253.9,"(-3, -58)","(111, 2)","(5, 82)"
254.0,"(-3, -58)","(111, 2)","(4, 81)"
254.1,"(-3, -58)","(111, 2)","(4, 81)"
254.2,"(-3, -58)","(111, 2)","(3, 80)"
254.3,"(-3, -58)","(111, 2)","(3, 80)"
254.4,"(-3, -58)","(111, 2)","(2, 79)"
254.5,"(-3, -58)","(111, 2)","(2, 79)"
254.6,"(-3, -58)","(111, 2)","(2, 78)"
254.7,"(-3, -58)","(111, 2)","(1, 78)"
254.8,"(-3, -58)","(111, 2)","(1, 77)"
254.9,"(-3, -58)","(111, 2)","(1, 76)"
255.0,"(-3, -58)","(111, 2)","(1, 76)"
255.1,"(-3, -58)","(111, 2)","(1, 75)"
255.2,"(-3, -58)","(111, 2)","(1, 74)"
255.3,"(-3, -58)","(111, 2)","(1, 73)"
255.4,"(-3, -58)","(111, 2)","(1, 73)"
255.5,"(-3, -58)","(111, 2)","(1, 72)"
255.6,"(-3, -58)","(111, 2)","(1, 72)"
255.7,"(-3, -58)","(111, 2)","(1, 71)"
255.8,"(-3, -58)","(111, 2)","(1, 70)"
255.9,"(-3, -58)","(111, 2)","(1, 69)"
256.0,"(-3, -58)","(111, 2)","(1, 68)"
256.1,"(-3, -58)","(111, 2)","(1, 68)"
